dataset_id,title,description,domain,country,last_modified,temporal_span_years,update_frequency,has_coordinates,spatial_precision,is_open_license,license,format,description_length,num_keywords,has_eurovoc,num_languages,has_multilingual,publisher_type,publisher,dataset_uri,modified_date,temporal_start,temporal_end,keyword_raw,language_raw,has_license_flag,has_temporal_flag,is_machine_readable,early_warning_score,early_warning_readiness,early_warning_temporal_recency,early_warning_update_frequency,early_warning_spatial_precision,early_warning_format_readability,early_warning_license_openness,early_warning_description_quality,early_warning_vocabulary_standard,compliance_reporting_score,compliance_reporting_readiness,compliance_reporting_temporal_coverage,compliance_reporting_description_quality,compliance_reporting_spatial_aggregation,compliance_reporting_vocabulary_standard,compliance_reporting_format_readability,compliance_reporting_license_openness,compliance_reporting_temporal_recency,cross_border_score,cross_border_readiness,cross_border_vocabulary_standard,cross_border_multilingual,cross_border_spatial_coverage,cross_border_format_readability,cross_border_description_quality,cross_border_license_openness,cross_border_temporal_recency
http://data.europa.eu/88u/dataset/85e0b87d-eb5e-4468-af3f-b94a2ba9864c,Habitat and management data collation and collection on callows and floodplain grasslands,,floods,unknown,2026-03-17,0,unknown,True,coordinates,False,,,0,13,False,1,False,other,,http://data.europa.eu/88u/dataset/85e0b87d-eb5e-4468-af3f-b94a2ba9864c,2026-03-17T13:34:50,,,biodiversity | biota | environment | flora | grassland | grassland ecosystem | habitat | habitats directive | ireland | national parks and wildlife service | npws | plant | species distribution,http://publications.europa.eu/resource/authority/language/ENG,False,True,False,0.47500000000000003,Partial,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.245,Insufficient,0.0,0.0,0.8,0.5,0.0,0.0,1.0,0.315,Insufficient,0.5,0.3,0.4,0.0,0.0,0.0,1.0
http://data.europa.eu/88u/dataset/https-www-arcgis-com-home-item-html-id-428488998a7b4bc0a47bdde09fda5e28,PluvFlood climate2100 T100,,floods,unknown,2023-10-09,0,unknown,True,coordinates,False,,,0,7,False,1,False,other,,http://data.europa.eu/88u/dataset/https-www-arcgis-com-home-item-html-id-428488998a7b4bc0a47bdde09fda5e28,2023-10-09T09:51:15Z,,,klimaat | milieu | overstroming | pluviaal | stadsontwikkeling | waterplan | weer,http://publications.europa.eu/resource/authority/language/NLD,False,True,False,0.25,Insufficient,0.1,0.0,1.0,0.0,0.0,0.0,0.5,0.2,Insufficient,0.0,0.0,0.8,0.5,0.0,0.0,0.1,0.27,Insufficient,0.5,0.3,0.4,0.0,0.0,0.0,0.1
http://data.europa.eu/88u/dataset/5c6bc67e-65f8-4ec3-8731-4a1b06d186cf,Flood hazard map Floodable area - FLUVIAL - future climate (with climate projection 2050),,floods,unknown,2021-08-31,0,unknown,True,coordinates,False,,,0,4,False,1,False,other,,http://data.europa.eu/88u/dataset/5c6bc67e-65f8-4ec3-8731-4a1b06d186cf,2021-08-31,,,Flooded areas (Floods Directive) | Floods Directive | Gebieden met natuurrisico's | Water Information System for Europe (WISE),http://publications.europa.eu/resource/authority/language/NLD,False,True,False,0.25,Insufficient,0.1,0.0,1.0,0.0,0.0,0.0,0.5,0.2,Insufficient,0.0,0.0,0.8,0.5,0.0,0.0,0.1,0.27,Insufficient,0.5,0.3,0.4,0.0,0.0,0.0,0.1
http://data.europa.eu/88u/dataset/8f7345bc-ddf1-4c11-8aab-8b0928538d9d~~8,Flood risk map Polluting installations - FLUVIAL - future climate (with climate projection 2050) - high probability,,floods,unknown,2021-08-31,0,unknown,True,coordinates,False,,,0,4,False,1,False,other,,http://data.europa.eu/88u/dataset/8f7345bc-ddf1-4c11-8aab-8b0928538d9d~~8,2021-08-31,,,Flood risk zones high probability scenario (Floods Directive) | Floods Directive | Gebieden met natuurrisico's | Water Information System for Europe (WISE),http://publications.europa.eu/resource/authority/language/NLD,False,True,False,0.25,Insufficient,0.1,0.0,1.0,0.0,0.0,0.0,0.5,0.2,Insufficient,0.0,0.0,0.8,0.5,0.0,0.0,0.1,0.27,Insufficient,0.5,0.3,0.4,0.0,0.0,0.0,0.1
http://data.europa.eu/88u/dataset/1fe1137a-6258-411a-ac1c-bfbaaba0907b,Flood risk map Type of economic activity - FLUCIAL - current climate - high probability,,floods,unknown,2021-08-31,0,unknown,True,coordinates,False,,,0,4,False,1,False,other,,http://data.europa.eu/88u/dataset/1fe1137a-6258-411a-ac1c-bfbaaba0907b,2021-08-31,,,Flood risk zones high probability scenario (Floods Directive) | Floods Directive | Gebieden met natuurrisico's | Water Information System for Europe (WISE),http://publications.europa.eu/resource/authority/language/NLD,False,True,False,0.25,Insufficient,0.1,0.0,1.0,0.0,0.0,0.0,0.5,0.2,Insufficient,0.0,0.0,0.8,0.5,0.0,0.0,0.1,0.27,Insufficient,0.5,0.3,0.4,0.0,0.0,0.0,0.1
http://data.europa.eu/88u/dataset/f51c7e45-04ce-44b6-9166-e1074216952b,Flood maps 2019 — Coastal floods,,floods,unknown,2023-02-03,0,unknown,True,coordinates,False,,,0,4,False,1,False,other,,http://data.europa.eu/88u/dataset/f51c7e45-04ce-44b6-9166-e1074216952b,2023-02-03T06:38:51.497896,,,gefahrenkarten | hochwasser | küstenhochwasser | risikokarten,http://publications.europa.eu/resource/authority/language/DEU,False,True,False,0.25,Insufficient,0.1,0.0,1.0,0.0,0.0,0.0,0.5,0.2,Insufficient,0.0,0.0,0.8,0.5,0.0,0.0,0.1,0.27,Insufficient,0.5,0.3,0.4,0.0,0.0,0.0,0.1
http://data.europa.eu/88u/dataset/faabb93f-d8cd-4fc7-bba8-48e400c6ea58,Hazard map/Intensity map/Flood risk map - water axis,,floods,unknown,2020-09-09,0,unknown,True,coordinates,False,,,0,10,False,1,False,other,,http://data.europa.eu/88u/dataset/faabb93f-d8cd-4fc7-bba8-48e400c6ea58,2020-09-09,,,fließgewässer | fließgewässernetz | gefahrenkarte | gewässerachse | hochwasser | hochwasserrisikokarte | hochwasserschutz | hochwasserschutzkonzepte | intensitätskarte | regional,http://publications.europa.eu/resource/authority/language/DEU,False,True,False,0.25,Insufficient,0.1,0.0,1.0,0.0,0.0,0.0,0.5,0.2,Insufficient,0.0,0.0,0.8,0.5,0.0,0.0,0.1,0.27,Insufficient,0.5,0.3,0.4,0.0,0.0,0.0,0.1
http://data.europa.eu/88u/dataset/fb699a7e-0239-4415-b19d-78ce629af9c3,"Inspire Download Service (predefined ATOM) for data set Flood zones of Saarland, fixed",,floods,unknown,2025-11-06,0,unknown,True,coordinates,False,,,0,8,False,1,False,other,,http://data.europa.eu/88u/dataset/fb699a7e-0239-4415-b19d-78ce629af9c3,2025-11-06,,,Gewässernetz | Hochwasser | Hochwasserschutz | Schutzgebiete | infoFeatureAccessService | opendata | wasser | Überschwemmung,,False,True,False,0.30000000000000004,Insufficient,0.3,0.0,1.0,0.0,0.0,0.0,0.5,0.21000000000000002,Insufficient,0.0,0.0,0.8,0.5,0.0,0.0,0.3,0.28,Insufficient,0.5,0.3,0.4,0.0,0.0,0.0,0.3
http://data.europa.eu/88u/dataset/b26929b5-d9ce-67b4-2b82-4802fbfc3a28,Inspire Download Service (predefined ATOM) for record Flood_with_lower_probability,,floods,unknown,2025-07-24,0,unknown,True,coordinates,False,,,0,16,False,1,False,other,,http://data.europa.eu/88u/dataset/b26929b5-d9ce-67b4-2b82-4802fbfc3a28,2025-07-24,,,Extremereignis | Gebiete mit naturbedingten Risiken | HLNUG | HQextrem | HWRMP | Hessen | Hochwasserrisikomanagementpläne | Hydrologie | Hydrology | Natural risk zones | Wasser | infoFeatureAccessService | inspireidentifiziert | naturbedingte Risiken | regional | Überflutungsflächen,,False,True,False,0.30000000000000004,Insufficient,0.3,0.0,1.0,0.0,0.0,0.0,0.5,0.21000000000000002,Insufficient,0.0,0.0,0.8,0.5,0.0,0.0,0.3,0.28,Insufficient,0.5,0.3,0.4,0.0,0.0,0.0,0.3
http://data.europa.eu/88u/dataset/fad8d1cd-04e8-40c4-9c74-c333cade2b78-6571-agis_service_center,Flood event register 2009 (flooded areas),,floods,unknown,2010-07-12,0,unknown,False,,False,,,0,0,False,1,False,other,,http://data.europa.eu/88u/dataset/fad8d1cd-04e8-40c4-9c74-c333cade2b78-6571-agis_service_center,2010-07-12T00:00:00,,,,http://publications.europa.eu/resource/authority/language/DEU,False,True,False,0.025,Insufficient,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.005000000000000001,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.14500000000000002,Insufficient,0.0,0.3,0.4,0.0,0.0,0.0,0.1
