dataset_id,task,baseline_score,low_score,high_score
http://data.europa.eu/88u/dataset/85e0b87d-eb5e-4468-af3f-b94a2ba9864c,early_warning,0.47500000000000003,0.44,0.5058823529411764
http://data.europa.eu/88u/dataset/https-www-arcgis-com-home-item-html-id-428488998a7b4bc0a47bdde09fda5e28,early_warning,0.25,0.26,0.2411764705882353
http://data.europa.eu/88u/dataset/5c6bc67e-65f8-4ec3-8731-4a1b06d186cf,early_warning,0.25,0.26,0.2411764705882353
http://data.europa.eu/88u/dataset/8f7345bc-ddf1-4c11-8aab-8b0928538d9d~~8,early_warning,0.25,0.26,0.2411764705882353
http://data.europa.eu/88u/dataset/1fe1137a-6258-411a-ac1c-bfbaaba0907b,early_warning,0.25,0.26,0.2411764705882353
http://data.europa.eu/88u/dataset/f51c7e45-04ce-44b6-9166-e1074216952b,early_warning,0.25,0.26,0.2411764705882353
http://data.europa.eu/88u/dataset/faabb93f-d8cd-4fc7-bba8-48e400c6ea58,early_warning,0.25,0.26,0.2411764705882353
http://data.europa.eu/88u/dataset/fb699a7e-0239-4415-b19d-78ce629af9c3,early_warning,0.30000000000000004,0.3,0.30000000000000004
http://data.europa.eu/88u/dataset/b26929b5-d9ce-67b4-2b82-4802fbfc3a28,early_warning,0.30000000000000004,0.3,0.30000000000000004
http://data.europa.eu/88u/dataset/fad8d1cd-04e8-40c4-9c74-c333cade2b78-6571-agis_service_center,early_warning,0.025,0.020000000000000004,0.029411764705882356
http://data.europa.eu/88u/dataset/floodrisk,early_warning,0.05,0.046666666666666676,0.05294117647058824
http://data.europa.eu/88u/dataset/56016347c751df255c8dabf1,early_warning,0.04,0.036000000000000004,0.043529411764705886
http://data.europa.eu/88u/dataset/5b35e80c88ee38071da6f6fa,early_warning,0.025,0.020000000000000004,0.029411764705882356
http://data.europa.eu/88u/dataset/d2806093-ddfe-4656-ae1a-d4385d5f3e4a,early_warning,0.25,0.26666666666666666,0.23529411764705882
http://data.europa.eu/88u/dataset/e3c92cd0-27af-48ca-897d-87247b15adca,early_warning,0.225,0.24000000000000002,0.21176470588235294
http://data.europa.eu/88u/dataset/4ba82102-13c0-4136-87ab-596243f06322,early_warning,0.25,0.26,0.2411764705882353
http://data.europa.eu/88u/dataset/c14cf922-068e-4611-bb20-44a6b77e8d1e,early_warning,0.25,0.26,0.2411764705882353
http://data.europa.eu/88u/dataset/edac240f-1dbd-4698-921d-5ce6522a0d1e,early_warning,0.225,0.24000000000000002,0.21176470588235294
http://data.europa.eu/88u/dataset/6b32f265-13f6-42a1-8b56-124872364779,early_warning,0.225,0.24000000000000002,0.21176470588235294
http://data.europa.eu/88u/dataset/19532b82-1666-4150-ba75-2038b59552ca,early_warning,0.225,0.24000000000000002,0.21176470588235294
http://data.europa.eu/88u/dataset/a6f2ef96-a517-4478-9d14-5dad97b6cb09,early_warning,0.225,0.24000000000000002,0.21176470588235294
http://data.europa.eu/88u/dataset/ispra_rm-meta_ppriskfran01_sv,early_warning,0.225,0.24000000000000002,0.21176470588235294
http://data.europa.eu/88u/dataset/181a8d38-c584-48f8-8d02-1e349ff99ff1,early_warning,0.225,0.24000000000000002,0.21176470588235294
http://data.europa.eu/88u/dataset/spamiteco_peligrosidad_inundacion_fluvial,early_warning,0.25,0.26,0.2411764705882353
http://data.europa.eu/88u/dataset/e221af21-96e7-4782-bccb-d6bbe1d75ca3,early_warning,0.29000000000000004,0.28933333333333333,0.29058823529411765
http://data.europa.eu/88u/dataset/06b5e5c2-df41-1e85-1128-f8253aabbc21,early_warning,0.25,0.26,0.2411764705882353
http://data.europa.eu/88u/dataset/68b08e3d-9325-4dbe-9593-ff3e9d079e73,early_warning,0.05,0.046666666666666676,0.05294117647058824
http://data.europa.eu/88u/dataset/flood-map-flood-zone-3333,early_warning,0.015,0.016,0.014117647058823528
http://data.europa.eu/88u/dataset/http-catalogue-georisques-gouv-fr-id-9433a0ca-ca3d-42eb-b79b-712ac34119b2,early_warning,0.025,0.02666666666666667,0.023529411764705882
http://data.europa.eu/88u/dataset/5e9d5c610a3221a4c418094b,early_warning,0.025,0.02666666666666667,0.023529411764705882
http://data.europa.eu/88u/dataset/integralna-karta-razredov-poplavne-nevarnosti-ikrpn,early_warning,0.015,0.016,0.014117647058823528
http://data.europa.eu/88u/dataset/north-lincolnshire-council-flood-risk-areas-strategic-flood-risk-assesment-sfra2,early_warning,0.025,0.02666666666666667,0.023529411764705882
http://data.europa.eu/88u/dataset/5ea22d17dfde7bf8806a9dd1,early_warning,0.025,0.02666666666666667,0.023529411764705882
http://data.europa.eu/88u/dataset/flood-zone-2,early_warning,0.015,0.016,0.014117647058823528
http://data.europa.eu/88u/dataset/river-flood-maps-frm-fh-river-extent-l338,early_warning,0.0,0.0,0.0
http://data.europa.eu/88u/dataset/north-lincolnshire-council-local-flood-risk-management-strategy-significant-infrastructure-li,early_warning,0.0,0.0,0.0
http://data.europa.eu/88u/dataset/north-lincolnshire-council-local-flood-risk-management-strategy-significant-infrastructure-no,early_warning,0.0,0.0,0.0
http://data.europa.eu/88u/dataset/602effc37abfb05e457a57e2,early_warning,0.0,0.0,0.0
http://data.europa.eu/88u/dataset/saved-local-plan-policy-f8-identified-floodplain,early_warning,0.0,0.0,0.0
http://data.europa.eu/88u/dataset/6593b50c-67f7-4ec8-911c-fbcfd53daedc,early_warning,0.25,0.26,0.2411764705882353
http://data.europa.eu/88u/dataset/0a4d4291-7c1c-413b-bf2d-cf3dc84ae454,early_warning,0.225,0.23333333333333334,0.21764705882352942
http://data.europa.eu/88u/dataset/242ff46b-e06b-4c8d-be2c-b958b6d96bff,early_warning,0.225,0.24000000000000002,0.21176470588235294
http://data.europa.eu/88u/dataset/1a3f968d-52ed-41a9-afc8-8b2801f11e37,early_warning,0.21500000000000002,0.22933333333333333,0.2023529411764706
http://data.europa.eu/88u/dataset/2d4eb8e3-1ee4-43fd-8d40-b4b820d28de2,early_warning,0.21500000000000002,0.22933333333333333,0.2023529411764706
http://data.europa.eu/88u/dataset/e628ccdc-3d96-4526-b810-6f0c8811cd8a,early_warning,0.21500000000000002,0.22933333333333333,0.2023529411764706
http://data.europa.eu/88u/dataset/development-of-an-integrated-modeling-tool-to-assess-the-nutrient-dynamics-and-trophic-status-o,early_warning,0.025,0.02666666666666667,0.023529411764705882
http://data.europa.eu/88u/dataset/frasspraferenzen-des-europaischen-bibers-castor-fiber-im-nationalpark-donau-auen-und-deren-ausw,early_warning,0.025,0.02666666666666667,0.023529411764705882
http://data.europa.eu/88u/dataset/natural-floodplain-dynamics-shape-grasshopper-assemblages-of-meadows-in-the-donau-auen-national,early_warning,0.025,0.02666666666666667,0.023529411764705882
http://data.europa.eu/88u/dataset/population-density-and-habitat-preferences-in-a-tawny-owl-strix-aluco-population-in-floodplain-,early_warning,0.025,0.02666666666666667,0.023529411764705882
http://data.europa.eu/88u/dataset/poster-fine-root-and-aboveground-carbon-stocks-of-recent-and-diked-floodplain-forests-in-austri,early_warning,0.025,0.02666666666666667,0.023529411764705882
http://data.europa.eu/88u/dataset/c47eea45-a8f1-4e62-ad44-a8a338a4c160,early_warning,0.25,0.26,0.2411764705882353
http://data.europa.eu/88u/dataset/ed861d01-8c6d-45cc-8bd3-4a0dbd11012d,early_warning,0.25,0.26,0.2411764705882353
http://data.europa.eu/88u/dataset/fr-120066022-jdd-1d707251-f427-45da-abfa-f67d7a2b860f,early_warning,0.25,0.26,0.2411764705882353
http://data.europa.eu/88u/dataset/fr-120066022-jdd-1d9c161c-f0e0-44fe-b527-087c90576537,early_warning,0.25,0.26,0.2411764705882353
